PD_HEADER,UW Program Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_BASIS,Per-Program Quarterly Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SPACER0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_TOTAL,All Programs - Total,Q1 Y1,Q2 Y1,Q3 Y1,Q4 Y1,Y1 Total,Q1 Y2,Q2 Y2,Q3 Y2,Q4 Y2,Y2 Total,Q1 Y3,Q2 Y3,Q3 Y3,Q4 Y3,Y3 Total,Q1 Y4,Q2 Y4,Q3 Y4,Q4 Y4,Y4 Total,Q1 Y5,Q2 Y5,Q3 Y5,Q4 Y5,Y5 Total,Y1-Y5 Total,Tail
PD_GIBNR_10,Change in Gross IBNR,0,0,0,0,0,18674.2021939951,110998.489719822,328301.928436288,754689.834173828,1212664.45452393,1340817.0725247,1937169.30836962,2507891.40136069,2991375.35933916,8777253.14159417,3446255.11246624,4000618.892853,4678942.04093888,5506283.48915839,17632099.5354165,6511375.13703724,7728365.96274512,9198253.51515312,10970367.5692801,34408362.1842156,0,-124060758.6315
PD_GULT_10,Gross Ultimate Loss,0,0,0,0,0,18750,112500,337500,787500,1256250,1428750,2127000,2852400,3542880,9951030,4251456,5101747.2,6122096.64,7346515.96799999,22821815.808,8815819.1616,10578982.99392,12694779.592704,15233735.5112448,47323317.2594688,81352413.0674688,0
PD_CULT_10,Ceded Ultimate Loss,0,0,0,0,0,-18750,-112500,-337500,-787500,-1256250,-1428750,-2127000,-2852400,-3542880,-9951030,-4251456,-5101747.2,-6122096.64,-7346515.96799999,-22821815.808,-7934237.24544,-9521084.694528,-11425301.6334336,-13710361.9601203,-42590985.5335219,-76620081.3415219,0
PD_NULT_10,Net Ultimate Loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881581.91616,1057898.299392,1269477.9592704,1523373.55112448,4732331.72594688,4732331.72594688,0
PD_GUWRES_10,Gross UW Result,0,0,0,0,0,3125,18750,56250,131250,209375,238125,354500,475400,590480,1658505,708575.999999999,850291.200000001,1020349.44,1224419.328,3803635.96800001,1469303.1936,1763163.83232,2115796.598784,2538955.91854081,7887219.54324482,13558735.5112448,43154338.9519872
PD_NUWRES_10,Net UW Result,0,0,0,0,0,4687.5,28125,84375,196875,314062.5,357187.5,531750,713100,885720,2487757.5,1062864,1275436.8,1530524.16,1836628.992,5705453.952,2203954.7904,2644745.74848,3173694.898176,3808433.8778112,11830829.3148672,20338103.2668672,12946301.6855962
PD_GLR_10,Gross Loss Ratio,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.599999999999999,0.6,0.6,0
PD_NLR_10,Net Loss Ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0
PD_CR_10,Combined Ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.500000000000001,-0.5,-0.500000000000001,-0.500000000000001,-0.500000000000001,-1.57861508169711,-1.1
PD_RETMGN_10,Retained Margin,0,0,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.21
PD_SP_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_SEC_SUPP,Supporting Calculations,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD_GCRSV_EOQ_1,Pgm 1 Case Rsv EOQ,0,0,162930.033059329,259438.021621022,259438.021621022,257653.889355325,277515.691588275,390835.189775149,403658.924010497,403658.924010497,330102.964153103,337639.168717872,363349.645462913,509647.314752787,509647.314752787,525612.061083314,429587.312205036,439168.676542359,472478.964476434,472478.964476434,662606.771760295,683330.056506475,558481.708850889,570928.972768655,570928.972768655,570928.972768655,-570928.972768655
PD_GIBNR_EOQ_1,Pgm 1 IBNR EOQ,0,0,22721.2673331152,16565.6757759622,16565.6757759622,17373.8909809468,18153.3791631993,32922.5823975573,21537.0367357177,21537.0367357177,18155.4143708921,22584.4097117493,23599.3897192497,42799.3571060561,42799.3571060561,27998.14775638,23602.0386821618,29359.732625274,30679.2066350244,30679.2066350244,55639.1642378718,36397.5920832977,30682.6502868049,38167.6524128579,38167.6524128579,38167.6524128579,-38167.6524128579
PD_GCRSV_EOQ_2,Pgm 2 Case Rsv EOQ,0,0,74983.5461875018,293104.149556717,293104.149556717,401445.288064513,442541.532670862,553223.556370673,738771.921517997,738771.921517997,800837.726929412,798962.71407158,769580.810999359,831329.331553165,831329.331553165,983229.372401285,1013913.53211218,983927.715678154,930121.023790626,930121.023790626,976013.163587758,1119775.6776077,1138853.53307574,1096335.86342031,1096335.86342031,1096335.86342031,-1096335.86342031
PD_GIBNR_EOQ_2,Pgm 2 IBNR EOQ,0,0,331788.105735144,603939.618221446,603939.618221446,574429.919262317,607506.984979936,917340.156178258,1075822.81732293,1075822.81732293,1018233.94437236,937983.459649229,925096.951400472,1211351.94895413,1211351.94895413,1346077.90689266,1259691.57369743,1153960.58345364,1122428.97905053,1122428.97905053,1407733.54449857,1536123.88154395,1434123.01311325,1313267.88374637,1313267.88374637,1313267.88374637,-1313267.88374637
PD_GCRSV_EOQ_3,Pgm 3 Case Rsv EOQ,0,0,64044.824315774,127598.284137089,127598.284137089,164486.874832743,211869.700714381,262545.499296768,314407.661899576,314407.661899576,328314.115317007,358085.136654298,436103.53598254,530576.373383943,530576.373383943,631328.99699547,657810.045071399,716737.78857247,872484.531862924,872484.531862924,1061290.52272041,1262727.3504665,1315655.43244767,1433493.78548079,1433493.78548079,1433493.78548079,-1433493.78548079
