,Loss Development Triangles,,,,,,,,,,,,,,,,,,,,,,% of Ultimate,,,,,,,,,,,,,,,,,,,,
,Cumulative Dollar Amounts (left) | Ult + % of Ultimate (right),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Programs -- Gross Paid ($),,,,,,,,,,,,,,,,,,,,,,All Programs -- Gross Paid (%),,,,,,,,,,,,,,,,,,,,
,Exp Qtr,DQ1,DQ2,DQ3,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQ19,DQ20,,Ult,DQ1,DQ2,DQ3,DQ4,DQ5,DQ6,DQ7,DQ8,DQ9,DQ10,DQ11,DQ12,DQ13,DQ14,DQ15,DQ16,DQ17,DQ18,DQ19,DQ20
,Q3Y2,1956678.56170831,3508988.44918886,4127008.41453058,4474718.56757094,4713103.537098,4897490.28123979,5050252.33455574,5181706.89124742,5297253.26554446,5400088.64550859,5492329.26110411,5575507.62567229,5650808.89144832,5719191.52257174,5781453.27294335,5838271.89437601,5890230.67904272,5937835.97254093,5981530.30076332,6021702.40609171,,6577950,0.297460236351494,0.53344711485932,0.627400392908214,0.680260349739803,0.716500359093334,0.744531393707735,0.767754746472037,0.7877388686821,0.805304580537167,0.820937928307238,0.834960627718986,0.847605656119656,0.859053183962834,0.86944891988716,0.878914140871146,0.887551880810284,0.895450813557829,0.902687915314183,0.909330460213793,0.915437546057922
,Q4Y2,2267250.91489405,4026347.74162001,4749219.85731505,5167854.17412754,5461780.0914648,5693083.67616876,5887039.87250528,6055390.55957924,6204332.76897482,6337572.06053659,6457588.09902691,6566197.36586742,6664820.7194796,6754619.69412012,6836570.60071803,6911510.38267715,6980165.14612613,7043169.72212709,7101082.46755838,7154396.66480448,,7899200,0.287022852300746,0.509715887889915,0.601227954389692,0.654225006852281,0.691434587232226,0.720716487260579,0.745270390989629,0.766582762758157,0.785438116388345,0.802305557592742,0.817498999775535,0.831248400580745,0.84373363371982,0.855101743736089,0.865476326807529,0.874963335866563,0.883654692389879,0.89163076287815,0.898962232575246,0.905711548613084
,Q1Y3,2075515.49709776,3644033.61328914,4321339.24841467,4732731.5812183,5033924.93881832,5278785.32079482,5489127.81937781,5675019.19226663,5841759.92620244,5992545.08019822,6129556.40405148,6254439.07243715,6368522.05115103,6472926.23402641,6568620.53367287,6656456.32378043,6737187.97150053,6811486.92011058,6879952.80562941,6943122.32890504,,7837800,0.264808428015229,0.464930671015992,0.551345945088503,0.603834185768749,0.642262489323321,0.673503447497361,0.700340378598307,0.724057668257245,0.745331588736946,0.764569787465643,0.782050626968216,0.797984009854443,0.812539494647864,0.825860092631403,0.838069424286518,0.849276113677363,0.859576408112038,0.869055974905022,0.877791319710813,0.885850918485421
,Q2Y3,2240946.15907276,4164743.97215779,4968845.42456603,5456145.60508091,5817301.57871121,6115747.78249482,6376066.61889048,6609065.32978793,6820194.46752769,7012664.56063171,7188677.26083166,7349935.33233961,7497862.23376281,7633700.36444012,7758556.29875099,7873427.10768926,7979214.52627491,8076734.47585696,8166725.40252554,8249855.46923103,,9434325,0.237531159788619,0.441445887454353,0.526677364259343,0.578329197380937,0.616610258678942,0.648244339949579,0.675837075666831,0.700533989425627,0.7229128175601,0.743313863008929,0.761970491882743,0.779063190248333,0.794742838916701,0.809141127154314,0.8223753473355,0.834551184922001,0.845764220150875,0.856100937359796,0.865639608824748,0.874451057095344
,Q3Y3,3207566.54190985,5786279.82906371,6847880.27830267,7485550.37448043,7958026.47416121,8350110.98320473,8693914.15459838,9003133.63807438,9284464.39936667,9541765.62866305,9777673.57492134,9994249.76896139,10193247.9225118,10376225.7284743,10544591.4483982,10699629.5257529,10842512.6871891,10974309.9762258,11095994.606912,11208451.2646297,,12814015,0.25031705846371,0.451558690157902,0.534405514454499,0.584169003585561,0.621040827106977,0.651638926847263,0.678469172589418,0.702600522792769,0.724555449589115,0.744635122454832,0.763045273079619,0.779946782406716,0.795476509315134,0.809756015462313,0.822895200949758,0.834994303171404,0.846144841190614,0.856430242685511,0.865926456845256,0.874702524121421
,Q4Y3,3944062.98140102,7141386.58010395,8493099.81912164,9316437.79054887,9928289.79863615,10434579.5071767,10876431.2153762,11271949.7985247,11630289.4397377,11956864.921701,12255407.9250399,12528816.8060664,12779521.3472083,13009645.4416394,13221081.8796377,13415536.1743975,13594550.15338,13759518.1618512,13911701.3350423,14052239.9939074,,16049485,0.245743896542538,0.444960481916021,0.529182077750261,0.580482039800583,0.618604883498514,0.650150425834645,0.677681010660231,0.702324703784868,0.724651877598421,0.744999912564233,0.763601319608692,0.78063668747417,0.796257409331721,0.810595819220331,0.823769851782642,0.835885772932746,0.847039649769445,0.857318360174872,0.866800482074181,0.875557065781698
,Q1Y4,4447880.63617395,7988939.71185358,9513004.58720388,10452381.8678988,11155016.5370835,11738061.1736799,12247401.3325804,12703449.1337998,13116637.1457105,13493190.6744486,13837421.1037382,14152681.5684538,14441781.3396066,14707172.9076677,14951039.2119523,15175345.3422691,15381866.5805641,15572207.7130439,15747819.8676003,15910015.0271175,,18217945,0.244148318384645,0.438520355169234,0.522177698264205,0.573740993723429,0.612309266335115,0.644313130469979,0.672271287051331,0.697304176393103,0.719984451907748,0.740653826457848,0.759548955918915,0.776853896992983,0.792722853187153,0.807290443991773,0.82067649298273,0.83298886577323,0.844325009245778,0.854773011612664,0.864412526637903,0.873315570286196
,Q2Y4,4203237.18488472,7492639.40965565,8968004.42358676,9906891.63594662,10624928.8969847,11229117.0720957,11761535.5854796,12240972.957854,12677095.3984957,13075742.0840538,13441027.5103353,13776212.0262018,14084073.7672032,14367072.1622979,14627420.6891695,14867129.7881175,15088028.678357,15291780.4449398,15479896.0793292,15653747.0980452,,18137577,0.231741934707415,0.413100350154579,0.494443355007494,0.546208109051535,0.585796487424133,0.619107892531382,0.64846233791204,0.674895712798573,0.698940955481305,0.720920004036583,0.741059707718141,0.759539823108774,0.776513520367312,0.792116398033644,0.806470494331712,0.81968665319064,0.831865727068011,0.84309940875453,0.853471005489277,0.863056134678033
,Q3Y4,4464211.03133161,8307332.51537963,9985523.5580008,11048244.3054539,11864873.7484014,12557197.3720306,13171613.9837989,13728110.2192524,14236639.0144491,14703115.2712165,15131731.3876611,15525878.6858883,15888518.2364793,16222329.4755854,16529766.659945,16813089.7323045,17074376.8380245,17315532.7696587,17538299.1039337,17744264.5593033,,20692700.65,0.215738443562301,0.401461977143115,0.482562606345963,0.533919882780208,0.573384496740468,0.606841880353137,0.636534312586156,0.663427671982121,0.68800294631668,0.710545980435692,0.73125937709156,0.750307026061785,0.767832024694141,0.783963860009034,0.798821136957057,0.812513070028128,0.825140088131729,0.8367942426915,0.847559697527145,0.857513229395861
,Q4Y4,6004078.24318605,10922656.1923307,13032494.6569626,14354577.8313344,15367821.235304,16227992.7739716,16993284.6462677,17688137.4567415,18324405.456618,18909011.6206172,19446853.8822874,19941932.6888335,20397787.0670774,20817657.9023619,21204541.8640632,21561218.4026225,21890257.1420556,22194022.8509365,22474684.2697578,22734224.4180278,,26452314.03,0.22697742951247,0.412918740490648,0.492678812227251,0.542658680637718,0.580963208658233,0.613481026860909,0.642412025919371,0.668680155417826,0.692733551999873,0.714833930943514,0.735166453121356,0.753882350943551,0.771115413341302,0.786988158342301,0.801613871664112,0.815097627306615,0.827536567017523,0.839020088214813,0.849630177695186,0.859441801282285
